ticker,previous_description,corrected_description,issue_category,reason,confidence
GSLC,The fund tracks the performance of Goldman Sachs ActiveBeta U.S. Large Cap Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs ActiveBeta U.S. Large Cap Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GUSE,The fund tracks the performance of Goldman Sachs Enhanced U.S. Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Enhanced U.S. Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
JUST,The fund tracks the performance of Goldman Sachs JUST U.S. Large Cap Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs JUST U.S. Large Cap Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSEW,The fund tracks the performance of Goldman Sachs Equal Weight U.S. Large Cap Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Equal Weight U.S. Large Cap Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GVLE,The fund tracks the performance of Goldman Sachs Value Opportunities. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Value Opportunities.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSGO,The fund tracks the performance of Goldman Sachs Growth Opportunities. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Growth Opportunities.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GTOP,The fund tracks the performance of Goldman Sachs Technology Opportunities. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Technology Opportunities.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSEU,The fund tracks the performance of Goldman Sachs ActiveBeta Europe Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs ActiveBeta Europe Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSIE,The fund tracks the performance of Goldman Sachs ActiveBeta International Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs ActiveBeta International Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GVIP,The fund tracks the performance of Goldman Sachs Hedge Industry VIP. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Hedge Industry VIP.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GTIP,"The fund tracks the performance of Goldman Sachs Access Inflation Protected USD Bond. The product physically holds bullion in a secure vault rather than investing in shares of mining companies. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.","The fund tracks the performance of Goldman Sachs Access Inflation Protected USD Bond. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.",Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
